"player","squad","played_per90","pos","goals","assists","gca","sca","passes_under_pressure","passes_crosses","passes_progressive","passes_key","pressures","tot_def","clearances","aerial_won","dribble_success","touches","saves","clean_sheets","passes_40yds_completed","crosses_stopped","outside_area_sweep"
"Kalvin Phillips","Leeds United",17.7,"MF",0,1,4,23,140,7,73,8,149,118,30,23,8,1170,NULL,NULL,NULL,NULL,NULL
"Karl Darlow","Newcastle Utd",8,"GK",0,0,0,0,16,0,0,0,0,0,1,0,0,269,25,0,75,8,4
"Kasey McAteer","Leicester City",0,"FW",0,0,0,0,0,0,0,0,1,0,0,0,0,2,NULL,NULL,NULL,NULL,NULL
"Kasper Schmeichel","Leicester City",37,"GK",0,0,2,5,74,0,2,1,0,0,1,0,1,1353,125,7,256,19,16
"Kayky Chagas","Manchester City",0.1,"FW",0,0,0,0,0,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL
"Keinan Davis","Aston Villa",0.1,"FW",0,0,0,0,0,0,1,0,0,0,0,0,0,7,NULL,NULL,NULL,NULL,NULL
"Kelechi Iheanacho","Leicester City",14,"FW",4,5,8,36,100,10,32,17,65,29,10,15,15,540,NULL,NULL,NULL,NULL,NULL
"Ken Sema","Watford",9.5,"MFFW",0,0,0,20,44,18,4,11,43,32,18,10,14,322,NULL,NULL,NULL,NULL,NULL
"Kenedy","Chelsea",0.6,"DF",0,1,1,3,5,3,7,2,2,4,0,0,0,60,NULL,NULL,NULL,NULL,NULL
"Kenny McLean","Norwich City",30.1,"MF",1,0,2,34,220,26,83,8,115,111,55,86,17,1358,NULL,NULL,NULL,NULL,NULL
"Kepa Arrizabalaga","Chelsea",4,"GK",0,0,0,0,18,0,0,0,0,0,0,0,0,149,11,2,16,1,5
"Kevin De Bruyne","Manchester City",24.5,"MF",15,8,14,139,207,101,157,88,98,62,18,15,24,1822,NULL,NULL,NULL,NULL,NULL
"Kevin Long","Burnley",4.6,"DF",0,0,0,1,15,0,1,0,13,20,15,14,0,139,NULL,NULL,NULL,NULL,NULL
"Ki-Jana Hoever","Wolves",3.4,"DF",0,0,0,3,15,8,8,1,25,21,8,4,1,200,NULL,NULL,NULL,NULL,NULL
"Kieran Dowell","Norwich City",10.1,"FWMF",1,1,1,23,71,20,24,16,49,26,2,13,4,421,NULL,NULL,NULL,NULL,NULL
"Kieran Tierney","Arsenal",21.3,"DF",1,3,3,38,97,72,76,22,49,78,46,16,11,1346,NULL,NULL,NULL,NULL,NULL
"Kieran Trippier","Newcastle Utd",4.8,"DF",2,0,1,9,35,11,18,7,18,36,18,12,1,336,NULL,NULL,NULL,NULL,NULL
"Kiernan Dewsbury-Hall","Leicester City",23.4,"MF",1,2,6,66,251,50,98,34,113,98,28,23,26,1509,NULL,NULL,NULL,NULL,NULL
"Kiko Femenía","Watford",23.8,"DF",0,5,6,39,104,55,79,24,75,128,61,21,8,1424,NULL,NULL,NULL,NULL,NULL
"Kortney Hause","Aston Villa",4.4,"DF",1,0,0,0,29,1,6,0,21,23,19,20,2,249,NULL,NULL,NULL,NULL,NULL
"Kostas Tsimikas","Liverpool",9.7,"DF",0,2,3,37,65,57,45,26,47,39,22,10,9,798,NULL,NULL,NULL,NULL,NULL
"Kristoffer Ajer","Brentford",22.2,"DF",1,3,6,28,138,12,75,6,73,107,81,63,11,1108,NULL,NULL,NULL,NULL,NULL
"Kristoffer Klaesson","Leeds United",0.4,"GK",0,0,0,0,1,0,0,0,0,0,0,0,0,14,4,0,2,1,0
"Kurt Zouma","West Ham",23.1,"DF",1,0,0,6,69,2,31,0,35,90,140,55,2,1206,NULL,NULL,NULL,NULL,NULL
"Kyle Walker","Manchester City",19.5,"DF",0,2,5,36,118,28,86,13,56,61,24,21,8,1769,NULL,NULL,NULL,NULL,NULL
"Kyle Walker-Peters","Southampton",29.3,"DF",1,2,8,61,219,33,124,23,111,136,44,32,51,1735,NULL,NULL,NULL,NULL,NULL
"Leander Dendoncker","Wolves",21.7,"MF",2,2,8,28,128,9,37,11,120,95,33,40,7,1013,NULL,NULL,NULL,NULL,NULL
"Leandro Trossard","Brighton",31.2,"FWMF",8,3,10,92,243,62,123,46,156,95,8,10,59,1598,NULL,NULL,NULL,NULL,NULL
"Leo Fuhr Hjelde","Leeds United",1.7,"DF",0,0,0,3,23,3,5,1,11,9,8,4,0,129,NULL,NULL,NULL,NULL,NULL
"Leon Bailey","Aston Villa",8.5,"FWMF",1,2,3,21,39,21,20,8,48,28,3,9,14,355,NULL,NULL,NULL,NULL,NULL
"Lewis Bate","Leeds United",1.6,"MF",0,0,0,2,11,0,4,0,10,7,2,1,1,79,NULL,NULL,NULL,NULL,NULL
"Lewis Brunt","Leicester City",0.3,"MF",0,0,0,0,3,0,0,0,0,1,0,0,0,25,NULL,NULL,NULL,NULL,NULL
"Lewis Dobbin","Everton",0.4,"FWMF",0,0,0,0,2,1,1,0,5,3,0,0,0,13,NULL,NULL,NULL,NULL,NULL
"Lewis Dunk","Brighton",28.6,"DF",1,0,2,15,140,6,54,2,48,99,119,91,5,2123,NULL,NULL,NULL,NULL,NULL
"Liam Cooper","Leeds United",20.2,"DF",0,1,2,9,120,1,44,3,74,90,117,92,3,1351,NULL,NULL,NULL,NULL,NULL
"Liam Delap","Manchester City",0.1,"FW",0,0,0,1,1,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL
"Liam McCarron","Leeds United",0.1,"FW",0,0,0,0,2,0,0,0,0,0,0,0,0,2,NULL,NULL,NULL,NULL,NULL
"Lucas Digne","Aston Villa",14.1,"DF",0,4,7,46,107,62,56,29,34,71,42,25,4,986,NULL,NULL,NULL,NULL,NULL
"Lucas Digne","Everton",13,"DF",0,0,0,33,90,34,49,20,43,76,30,25,6,823,NULL,NULL,NULL,NULL,NULL
"Lucas Moura","Tottenham",19.7,"FWMF",2,6,9,63,159,26,82,33,68,54,21,48,40,1047,NULL,NULL,NULL,NULL,NULL
"Luis Díaz","Liverpool",10.6,"FW",4,3,4,49,75,22,41,16,59,23,2,10,32,595,NULL,NULL,NULL,NULL,NULL
"Luka Milivojević","Crystal Palace",8.6,"MF",0,0,0,15,52,15,34,10,45,31,23,17,2,555,NULL,NULL,NULL,NULL,NULL
